max_depth	min_split	cp	minbucket	ganancia_promedio
10	1000	1.5	250	0
10	1000	2	250	0
10	1000	-1.5	200	47756000
10	1000	-1	200	47756000
10	1000	-0.5	200	47756000
10	1000	0	200	0
10	1000	0.5	200	0
10	1000	1	200	0
10	1000	1.5	200	0
10	1000	2	200	0
10	800	-1.5	640	49030000
10	800	-1	640	49030000
10	800	-0.5	640	49030000
10	800	0	640	0
10	800	0.5	640	0
10	800	1	640	0
10	800	1.5	640	0
10	800	2	640	0
10	800	-1.5	600	48732000
10	800	-1	600	48732000
10	800	-0.5	600	48732000
10	800	0	600	0
10	800	0.5	600	0
10	800	1	600	0
10	800	1.5	600	0
10	800	2	600	0
10	800	-1.5	400	48172000
10	800	-1	400	48172000
10	800	-0.5	400	48172000
10	800	0	400	0
10	800	0.5	400	0
10	800	1	400	0
10	800	1.5	400	0
